,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,rikitea,-23.12,-134.97,74.26,81.0,100.0,20.51,PF,1970-01-01 00:00:01.603657851
1,taoudenni,22.68,-3.98,88.47,12.0,0.0,7.29,ML,1970-01-01 00:00:01.603657797
2,hermanus,-34.42,19.23,61.0,79.0,86.0,1.01,ZA,1970-01-01 00:00:01.603657865
3,saskylakh,71.92,114.08,8.02,93.0,100.0,11.25,RU,1970-01-01 00:00:01.603657853
4,aracaju,-10.91,-37.07,82.4,74.0,40.0,14.99,BR,1970-01-01 00:00:01.603657903
5,albany,42.6,-73.97,50.0,41.0,0.0,4.36,US,1970-01-01 00:00:01.603657859
6,korla,41.76,86.15,46.0,65.0,97.0,1.01,CN,1970-01-01 00:00:01.603657903
7,mandan,46.83,-100.89,24.8,67.0,90.0,14.99,US,1970-01-01 00:00:01.603657868
8,riyadh,24.69,46.72,68.0,37.0,0.0,7.0,SA,1970-01-01 00:00:01.603657904
9,takoradi,4.88,-1.76,77.76,90.0,100.0,9.06,GH,1970-01-01 00:00:01.603657904
10,petropavlovsk-kamchatskiy,53.05,158.65,39.2,100.0,90.0,4.47,RU,1970-01-01 00:00:01.603657848
11,wanning,18.8,110.4,76.14,93.0,100.0,6.87,CN,1970-01-01 00:00:01.603657904
12,atuona,-9.8,-139.03,78.93,74.0,0.0,20.0,PF,1970-01-01 00:00:01.603657680
13,bambous virieux,-20.34,57.76,71.6,83.0,75.0,14.99,MU,1970-01-01 00:00:01.603657905
14,yellowknife,62.46,-114.35,30.2,74.0,75.0,3.36,CA,1970-01-01 00:00:01.603657626
15,kruisfontein,-34.0,24.73,62.01,90.0,100.0,12.15,ZA,1970-01-01 00:00:01.603657885
16,higuey,,,,,,,,
17,san quintin,30.48,-115.95,69.89,61.0,58.0,13.56,MX,1970-01-01 00:00:01.603657906
18,lata,40.16,-8.33,57.99,88.0,81.0,5.26,PT,1970-01-01 00:00:01.603657858
19,malinyi,-8.93,36.13,79.68,56.0,63.0,4.05,TZ,1970-01-01 00:00:01.603657906
20,upernavik,72.79,-56.15,13.86,76.0,63.0,4.47,GL,1970-01-01 00:00:01.603657895
21,ushuaia,-54.8,-68.3,53.6,46.0,40.0,2.24,AR,1970-01-01 00:00:01.603657848
22,asyut,27.18,31.18,73.4,49.0,0.0,11.41,EG,1970-01-01 00:00:01.603657786
23,jamestown,42.1,-79.24,46.0,64.0,90.0,10.29,US,1970-01-01 00:00:01.603657805
24,port elizabeth,-33.92,25.57,62.6,100.0,100.0,12.75,ZA,1970-01-01 00:00:01.603657907
25,stornoway,58.21,-6.39,50.0,87.0,62.0,17.22,GB,1970-01-01 00:00:01.603657908
26,havoysund,71.0,24.66,37.4,69.0,75.0,13.87,NO,1970-01-01 00:00:01.603657908
27,bredasdorp,-34.53,20.04,62.6,82.0,100.0,5.82,ZA,1970-01-01 00:00:01.603657846
28,busselton,-33.65,115.33,54.0,64.0,0.0,1.45,AU,1970-01-01 00:00:01.603657851
29,berlevag,70.86,29.09,35.6,64.0,75.0,19.46,NO,1970-01-01 00:00:01.603657908
30,kamenskoye,,,,,,,,
31,terrace,54.52,-128.6,32.0,60.0,90.0,3.36,CA,1970-01-01 00:00:01.603657909
32,qaanaaq,77.48,-69.36,12.67,80.0,100.0,12.01,GL,1970-01-01 00:00:01.603657860
33,arai,37.02,138.25,44.01,95.0,86.0,5.44,JP,1970-01-01 00:00:01.603657909
